created_at,text
2021-12-01 14:36:51,"RT @_opywpyy_: P’Nicky😂😂😂😂😂
#GMMTV2022 https://t.co/HNxKdil18H"
2021-12-01 14:36:51,"RT @forcebookfiles: SO HAPPY FOR U @fforcejs ❤

#GMMTV2022 #fforce_ https://t.co/gBr7t9YW7t"
2021-12-01 14:36:51,"RT @pipipipi_ngs: bright〜〜🤍🤍🤍🤍🤍🤍🤍I'm looking forward to it. I'm really looking forward to it!Please keep going！！！！GO！GO！My sunshine☀️

 #GM…"
2021-12-01 14:36:51,"RT @taynewvie: 28yo and play role as 17yo, he's definitely a baby😭🤏
#GMMTV2022 #Newwiee https://t.co/UyCG05LZ9k"
2021-12-01 14:36:51,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:51,RT @hourly_bright: baby bangs 😭😭 #bbrightvc @bbrightvc #GMMTV2022 https://t.co/wiBgJQhHGQ
2021-12-01 14:36:51,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:51,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:51,"RT @BRlGHTESTWIN: I'M NOT EVEN THAI BUT I'VE KNOWN DAVIKAH SINCE I WAS LIKE 11 OR 12 AND ADMIRED HER FROM THEN ON, I COULDN'T EVEN IMAGINE…"
2021-12-01 14:36:50,"RT @AlwaysBeWithOG: [Instagram Update] 211201 paloyh Update with Gun : อยู่กับใครก็น่ารัก🤍

#GMMTV2022 #กันอรรถพันธ์ https://t.co/80UE3axwpv"
2021-12-01 14:36:50,"RT @katuiislove: [Trans] 
P’ Koo: It’s Romantic Comedy which we got a very handsome actor, acting as a veterinarian.
W: Thank you krab 😊
P’…"
2021-12-01 14:36:50,"No.14 in Thailand Trends 💚🐰

Win Metawin 
#DevilSister 
#GMMTV2022 
#winmetawin @winmetawin https://t.co/wHZYtyvAEa"
2021-12-01 14:36:50,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:50,"RT @win_trend: Let stream on youtube now🔥
https://t.co/kEvD69Ecrd

Win Metawin
#DevilSister #GMMTV2022
#winmetawin @winmetawin https://t.co…"
2021-12-01 14:36:50,"RT @_opywpyy_: P’Nicky😂😂😂😂😂
#GMMTV2022 https://t.co/HNxKdil18H"
2021-12-01 14:36:50,"RT @salaleyoo__: BABY BANGSSSSS😭😭😭😭😭😭💚

#GMMTV2022
#bbrightvc https://t.co/Lqs7yqJFZp"
2021-12-01 14:36:50,"RT @_opywpyy_: Bright🥺🥺🥺🥺
#GMMTV2022
#bbrightvc https://t.co/1KGXs32Ffw"
2021-12-01 14:36:50,"RT @winstawan: they're so in love 😭

Win Metawin  @winmetawin #winmetawin  #GMMTV2022 https://t.co/nDP42gB7M9"
2021-12-01 14:36:50,"RT @GMMTV: GMMTV 2022 | พี่ช้าง [You Fight, and I Love]
https://t.co/ADnOodaegU

#พี่ช้างTheSeries #GMMTV2022 #GMMTV https://t.co/o4g1dGDktI"
2021-12-01 14:36:50,RT @brightwinvid_: Baby !!!! 55555556 #GMMTV2022 #bbrightvc https://t.co/nW8nql8JIL
2021-12-01 14:36:50,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:50,"RT @ohmixearth: I thought they gonna give earthmix separate project but 😭 EM STAN WE'RE WINNING 😭
#GMMTV2022 https://t.co/fh8dHlnjkx"
2021-12-01 14:36:50,"RT @katuiislove: [Trans] 
P’ Koo: It’s Romantic Comedy which we got a very handsome actor, acting as a veterinarian.
W: Thank you krab 😊
P’…"
2021-12-01 14:36:50,"RT @_opywpyy_: P’Nicky😂😂😂😂😂
#GMMTV2022 https://t.co/HNxKdil18H"
2021-12-01 14:36:50,"RT @MatamisPramis: OhmNanon are now the new kings of GMMTV! 👑👑 the highest trending couple at no.2! 🔥🔥

#OhmNanon 
#GMMTV2022 https://t.co/…"
2021-12-01 14:36:50,"211201 aorsarunya IG Story Update with @loverrukk!

She's so cute 🥺❤

#GMMTV2022 https://t.co/5IDras8hoQ"
2021-12-01 14:36:50,"RT @salaleyoo__: nong reposted!!! 🥺🥺🥺🥺🥺🥺💚

#GMMTV2022
#bbrightvc #winmetawin https://t.co/XEXkUlNQZC"
2021-12-01 14:36:50,"RT @salaleyoo__: BABY BANGSSSSS😭😭😭😭😭😭💚

#GMMTV2022
#bbrightvc https://t.co/Lqs7yqJFZp"
2021-12-01 14:36:50,"RT @winstawan: gmm upload the teaser let's give views to our actor 🥺

https://t.co/LOA5kIlfTK

Win Metawin  @winmetawin #winmetawin  #GMMTV…"
2021-12-01 14:36:50,"RT @GMMTV: GMMTV 2022 | Midnight Series : Moonlight Chicken พระจันทร์มันไก่
https://t.co/B747tqVaOy

#MoonlightChicken #GMMTV2022 #GMMTV ht…"
2021-12-01 14:36:50,"RT @GMMTV: GMMTV 2022 | บทกวีของปีแสง [You are My Favorite]
https://t.co/oXuRhAjcAR

#บทกวีของปีแสง #GMMTV2022 #GMMTV https://t.co/qnAxmQMs…"
2021-12-01 14:36:50,"RT @forjumpols: Unexpected moment💐

#ออฟจุมพล
#Astrophile #GMMTV2022 https://t.co/fnQOvGVDwv"
2021-12-01 14:36:49,"RT @GMMTV: GMMTV 2022 | Midnight Series : Moonlight Chicken พระจันทร์มันไก่
https://t.co/B747tqVaOy

#MoonlightChicken #GMMTV2022 #GMMTV ht…"
2021-12-01 14:36:49,"RT @katuiislove: [Tran]
M: Very happy ka, i was very excited, i cannot act well at the very first.
I: Why, u r shy when u act?
M: Yes, very…"
2021-12-01 14:36:49,"RT @singtoffee: does it                    just how fast
ever drive                     the night
you crazy                     changes

 #…"
2021-12-01 14:36:49,"RT @GMMTV: GMMTV 2022 | Midnight Series : Moonlight Chicken พระจันทร์มันไก่
https://t.co/B747tqVaOy

#MoonlightChicken #GMMTV2022 #GMMTV ht…"
2021-12-01 14:36:49,RT @vitaeminTae: the DEVIL SISTER trailer lasted for only a few minutes but it gave us everything we needed! Win and Min's chemistry is off…
2021-12-01 14:36:49,"RT @vcandmtw: Devil Sister 😈

30฿ / 1 p. Rt only ! 
#DevilSister #GMMTV2022"
2021-12-01 14:36:49,"RT @_opywpyy_: Bright🥺🥺🥺🥺
#GMMTV2022
#bbrightvc https://t.co/1KGXs32Ffw"
2021-12-01 14:36:49,"RT @WinmetawinO: IGs winmetawin Update 

หล่อมากกก

#GMMTV2022 
#winmetawin @winmetawin https://t.co/foI2bDyLwh"
2021-12-01 14:36:49,"RT @twinklemetawin: SO EXCITED FOR “ASTROPHILE”!! 😭🤍🔥

#GMMTV2022 #bbrightvc https://t.co/qKUz0DGKxD"
2021-12-01 14:36:49,"RT @AlwaysBeWithOG: [Instagram Update] 211201 arm_wc Update with OFFGUN : 3+1 Superstar ✨

#GMMTV2022 #ออฟกัน https://t.co/OECT4LSP5v"
2021-12-01 14:36:49,"RT @atthapansy_: a love triangle with davikah, bright and off OMG I NEVER EXPECTED THIS ONE 😭😭😭😭😭 #GMMTV2022 https://t.co/zf6Sj0Boln"
2021-12-01 14:36:49,"RT @onnnfilms: — ohm, nanon, and jimmy are booked and busy next year with their own series! 😩

#GMMTV2022 #OhmNanon #jimmyjp https://t.co/n…"
2021-12-01 14:36:48,"RT @twinklemetawin: SO EXCITED FOR “ASTROPHILE”!! 😭🤍🔥

#GMMTV2022 #bbrightvc https://t.co/qKUz0DGKxD"
2021-12-01 14:36:48,"RT @_opywpyy_: Bright🥺🥺🥺🥺
#GMMTV2022
#bbrightvc https://t.co/1KGXs32Ffw"
